CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:30;0;3282.29;0;1930.76;59.98;3;1314.91;1253.88;0;0;3;0;647;2000673163;12;252.18;249.8
06:35;0;3282.29;0;1930.76;59.98;3;1314.99;1253.9;0;0;7;0.16;651;2000673163;11.94;251.81;281.88
06:40;0;3282.29;0;1930.76;60;3;1315.07;1253.98;0.01;0.03;7;1.86;651;2000673163;12.1;250.85;252.78
06:45;0;3282.29;0;1930.76;60;3;1315.16;1254.01;0.01;0.02;3;1.39;651;2000673163;12.31;250.46;350.16
06:50;0;3282.29;0;1930.76;59.99;3;1315.24;1254.01;0;0;3;0;651;2000673163;12;249.81;433.94
06:55;0;3282.29;0;1930.76;60.01;3;1315.32;1254.03;0.03;0.04;7;7.36;652;2000673163;12.16;249.44;424.94
07:00;0;3282.3;0;1930.76;60.02;3;1315.39;1254.1;0.18;0.21;7;43.46;652;2000673163;13.25;249.86;342.18
07:05;0;3282.3;0;1930.77;59.99;3;1315.47;1254.18;0.23;0.26;7;56.74;652;2000673163;13.84;248.86;321
07:10;0;3282.32;0;1930.78;60.01;3;1315.56;1254.27;0.36;0.33;7;89.24;652;2000673163;14.27;248.67;368.57
07:15;0;3282.33;0;1930.79;60.01;3;1315.64;1254.35;0.47;0.39;7;116.65;652;2000673163;14.89;248.57;386
07:20;0;3282.36;0;1930.8;60;3;1315.73;1254.43;0.63;0.5;7;155.55;652;2000673163;15.45;248.81;380.6
07:25;0;3282.38;0;1930.81;59.99;3;1315.81;1254.52;0.69;0.53;7;170.71;652;2000673163;15.85;248.31;389.57
