CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
05:50;0;6515.19;0;3832.47;59.98;3;3583.09;2870.54;0;0;2;0;2563;2000673163;9.49;249.53;276.07
05:55;0;6515.19;0;3832.47;60;3;3583.17;2870.54;0;0;3;0;2563;2000673163;9.6;249.97;338.71
06:00;0;6515.19;16;3832.47;60.01;3;3583.25;2870.54;0;0;8;0;2563;2000673163;9.91;250.04;399.58
06:05;0;6515.19;16;3832.47;59.99;3;3583.34;2870.54;0;0;8;0;2563;2000673163;10.1;248.6;424.43
06:10;0;6515.19;16;3832.47;60.02;3;3583.42;2870.54;0;0;8;0;2563;2000673163;10.32;247.4;439.62
06:15;0;6515.19;0;3832.47;59.99;3;3583.5;2870.54;0;0;3;0;2563;2000673163;10.7;246.41;447.96
06:20;0;6515.19;0;3832.47;59.97;3;3583.59;2870.54;0;0;3;0;2563;2000673163;11.03;247.86;453.71
06:25;0;6515.19;16;3832.47;59.97;3;3583.67;2870.54;0;0;8;0;2563;2000673163;11.3;246.87;458.31
06:30;0;6515.19;16;3832.47;59.97;3;3583.75;2870.54;0;0;8;0;2563;2000673163;11.3;247.91;461.1
06:35;0;6515.19;16;3832.47;59.97;3;3583.84;2870.54;0;0;8;0;2563;2000673163;11.39;247.11;464.2
06:40;0;6515.19;0;3832.47;59.99;3;3583.92;2870.54;0;0;3;0;2563;2000673163;11.91;246.59;465.98
06:45;0;6515.19;0;3832.47;59.99;3;3584;2870.54;0;0;3;0;2563;2000673163;11.99;247.13;467.02
06:50;0;6515.2;0;3832.47;59.98;3;3584.09;2870.59;0.2;0.18;7;48.75;2564;2000673163;12.54;247.23;410.27
