CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:30;0;846.7;0;498.06;59.99;3;293.18;269.62;0;0;2;0;143;2000673163;17.91;248.72;267.88
06:35;0;846.7;0;498.06;59.99;3;293.26;269.62;0;0;2;0.03;145;2000673163;18.22;248.56;291.74
06:40;0;846.7;0;498.06;59.98;3;293.34;269.7;0.01;0.02;7;1.12;146;2000673163;18.29;248.82;249.45
06:45;0;846.7;0;498.06;59.99;3;293.43;269.78;0.01;0.04;7;2.45;146;2000673163;18.58;249.07;251.21
06:50;0;846.7;0;498.06;59.98;3;293.51;269.87;0.04;0.1;7;8.74;146;2000673163;18.87;249.35;250.27
06:55;0;846.7;0;498.06;59.99;3;293.59;269.95;0.05;0.13;7;13.21;146;2000673163;18.88;249.28;249.83
07:00;0;846.7;0;498.06;59.99;3;293.68;270.03;0.04;0.09;7;8.68;146;2000673163;19.25;249.24;284.83
07:05;0;846.7;0;498.06;59.99;3;293.76;270.12;0.06;0.12;7;13.65;146;2000673163;19.58;248.07;277.66
07:10;0;846.71;0;498.06;59.98;3;293.84;270.2;0.08;0.13;7;19.29;146;2000673163;19.85;248.41;314.71
07:15;0;846.71;0;498.07;59.98;3;293.93;270.28;0.13;0.17;7;31.14;146;2000673163;20.2;248.7;335.87
07:20;0;846.72;0;498.07;59.99;3;294.01;270.37;0.19;0.23;7;46.36;146;2000673163;20.22;248.68;322.74
07:25;0;846.73;0;498.07;59.98;3;294.09;270.45;0.22;0.27;7;54.99;146;2000673163;20.65;248.66;305.32
07:30;0;846.73;0;498.08;59.99;3;294.18;270.53;0.27;0.27;7;67.72;146;2000673163;20.81;248.96;355.27
