CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:50;0;13668.66;0;8040.39;60.01;3;7170.55;6051.39;0;0;2;0;4893;2000673163;7.5;249.23;279.76
06:55;0;13668.66;53;8040.39;60.01;3;7170.63;6051.41;0;0.01;8;0.29;4896;2000673163;7.52;249.55;306.96
07:00;0;13668.66;53;8040.39;60.01;3;7170.71;6051.41;0;0;8;0;4896;2000673163;7.5;249.02;414.89
07:05;0;13668.66;53;8040.39;60;3;7170.8;6051.41;0;0;8;0;4896;2000673163;7.5;248.63;433.93
07:10;0;13668.66;53;8040.39;59.98;3;7170.88;6051.41;0;0;8;0;4896;2000673163;7.75;247.99;445.39
07:15;0;13668.66;0;8040.39;59.99;3;7170.96;6051.41;0;0;3;0;4896;2000673163;8.15;248.09;453.64
07:20;0;13668.67;0;8040.39;59.99;3;7171.05;6051.46;0.11;0.13;7;27.74;4897;2000673163;8.7;247.96;393.05
07:25;0;13668.67;0;8040.4;60;3;7171.13;6051.55;0.2;0.24;7;48.79;4897;2000673163;9.45;248.13;307.04
07:30;0;13668.68;0;8040.4;60.01;3;7171.21;6051.63;0.26;0.26;7;64.16;4897;2000673163;10.09;248.07;365.83
07:35;0;13668.69;0;8040.41;60.01;3;7171.3;6051.71;0.3;0.28;7;74.83;4897;2000673163;10.68;247.68;374.55
07:40;0;13668.71;0;8040.42;60.01;3;7171.38;6051.8;0.35;0.3;7;86.51;4897;2000673163;11.06;247.18;390.2
07:45;0;13668.72;0;8040.42;60.02;3;7171.46;6051.88;0.39;0.35;7;95.2;4897;2000673163;11.29;247.12;362.3
