CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:10;0;5408.99;0;3181.76;59.98;3;2632.55;2443.43;0;0;2;0;1494;2000673163;11.36;248.63;287.48
07:15;0;5408.99;0;3181.76;59.99;3;2632.64;2443.5;0.01;0.02;7;1.09;1497;2000673163;11.95;248.67;263.73
07:20;0;5408.99;0;3181.76;59.99;3;2632.72;2443.57;0.01;0.04;0;2.27;1497;2000673163;12.07;248.71;286.14
07:25;0;5408.99;0;3181.76;60;3;2632.8;2443.57;0;0;3;0;1497;2000673163;12;249.17;428.45
07:30;0;5408.99;0;3181.76;59.99;3;2632.88;2443.57;0;0;3;0;1497;2000673163;12;248.83;437.05
07:35;0;5408.99;0;3181.76;59.99;3;2632.97;2443.63;0.08;0.13;7;20.62;1498;2000673163;12.86;248.9;343.24
07:40;0;5409;0;3181.76;60;3;2633.05;2443.72;0.1;0.17;7;24.74;1498;2000673163;13.2;248.48;278.08
07:45;0;5409;0;3181.77;59.99;3;2633.14;2443.8;0.15;0.23;7;36.73;1498;2000673163;13.74;248.45;267.38
07:50;0;5409.01;0;3181.77;59.99;3;2633.22;2443.88;0.22;0.25;7;55.05;1498;2000673163;14.06;247.73;328.63
07:55;0;5409.02;0;3181.78;60;3;2633.3;2443.97;0.27;0.26;7;66.24;1498;2000673163;14.52;247.81;371.38
08:00;0;5409.03;0;3181.78;59.99;3;2633.39;2444.05;0.3;0.29;7;74.3;1498;2000673163;14.99;247.47;361.19
08:05;0;5409.04;0;3181.79;59.97;3;2633.47;2444.13;0.34;0.3;7;83.74;1498;2000673163;15.36;248.02;388.76
