CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
08:05;0;4070.36;0;2394.33;59.98;3;1854.39;1759.62;0.26;0.26;7;65.34;985;2000673163;12.35;248.15;361.39
08:10;0;4070.37;0;2394.34;59.99;3;1854.48;1759.7;0.28;0.26;7;68.1;985;2000673163;12.61;247.73;382
08:15;0;4070.38;0;2394.34;59.99;3;1854.56;1759.78;0.27;0.31;7;67.31;985;2000673163;12.62;247.77;309.26
08:20;0;4070.39;0;2394.35;59.99;3;1854.65;1759.87;0.3;0.31;7;74.05;985;2000673163;13.14;247.62;336.72
08:25;0;4070.4;0;2394.36;59.99;3;1854.73;1759.95;0.33;0.3;7;80.43;985;2000673163;13.58;247.78;376.1
08:30;0;4070.42;0;2394.36;59.99;3;1854.81;1760.03;0.33;0.29;7;82.11;985;2000673163;13.87;248.74;386.95
08:35;0;4070.43;0;2394.37;59.99;3;1854.9;1760.12;0.34;0.3;7;85.2;985;2000673163;14.33;248.69;384.43
08:40;0;4070.44;0;2394.38;59.99;3;1854.98;1760.2;0.36;0.31;7;89.67;985;2000673163;14.51;249.04;387.36
08:45;0;4070.45;0;2394.39;59.98;3;1855.06;1760.29;0.38;0.34;7;94.53;985;2000673163;15.04;249.33;367.25
08:50;0;4070.47;0;2394.39;59.98;3;1855.15;1760.37;0.43;0.36;7;106.12;985;2000673163;15.2;248.85;379.91
08:55;0;4070.49;0;2394.4;59.98;3;1855.23;1760.45;0.49;0.38;7;120.78;985;2000673163;15.79;248.42;402.23
09:00;0;4070.51;0;2394.42;59.98;3;1855.31;1760.53;0.58;0.46;7;142.63;985;2000673163;16.19;248.07;383.42
