CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:20;0;12040.31;0;7082.54;60.01;3;6301.34;5283.84;0;0;7;0.03;4299;2000673163;8.14;249.87;285.7
07:25;0;12040.31;0;7082.54;60;3;6301.42;5283.93;0;0.02;7;0.83;4299;2000673163;8.25;249.91;251.66
07:30;0;12040.31;0;7082.54;60;3;6301.5;5283.98;0.01;0.02;3;1.32;4299;2000673163;8.64;249.96;312.61
07:35;0;12040.31;0;7082.54;60;3;6301.59;5283.98;0;0;3;0;4299;2000673163;8.21;250.12;435.13
07:40;0;12040.31;0;7082.54;60.01;3;6301.67;5283.98;0;0;6;0.69;4300;2000673163;8.25;249.57;443.06
07:45;0;12040.32;0;7082.54;60;3;6301.75;5284.06;0.15;0.18;7;36.47;4300;2000673163;9.58;250.32;360.93
07:50;0;12040.32;0;7082.54;60;3;6301.84;5284.15;0.18;0.2;7;44.32;4300;2000673163;10.14;250.17;370.65
07:55;0;12040.33;0;7082.55;60.02;3;6301.92;5284.23;0.26;0.25;7;64.42;4300;2000673163;10.69;249.68;374.62
08:00;0;12040.34;0;7082.56;60.02;3;6302;5284.31;0.36;0.32;7;90.12;4300;2000673163;11.07;249.68;380.84
08:05;0;12040.36;0;7082.57;60.02;3;6302.09;5284.4;0.48;0.4;7;119.18;4300;2000673163;11.69;249.09;383.53
08:10;0;12040.38;0;7082.58;60;3;6302.17;5284.48;0.64;0.5;7;159.18;4300;2000673163;12.25;249.11;386.8
08:15;0;12040.41;0;7082.59;60;3;6302.25;5284.56;0.74;0.56;7;184.33;4300;2000673163;12.71;248.76;391.89
