CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:15;0;5275.79;0;3103.41;60;3;2585.06;2397.37;0;0;7;0.07;1479;2000673163;6.89;247.36;286.51
06:20;0;5275.79;0;3103.41;59.99;3;2585.15;2397.46;0;0.02;7;0.8;1479;2000673163;7.14;247.8;249.47
06:25;0;5275.79;0;3103.41;59.99;3;2585.23;2397.52;0.01;0.03;3;1.57;1479;2000673163;7.48;247.8;292.26
06:30;0;5275.79;0;3103.41;59.98;3;2585.31;2397.52;0;0;3;0;1479;2000673163;7.2;248.62;446.1
06:35;0;5275.79;0;3103.41;59.97;3;2585.4;2397.52;0;0;3;0;1479;2000673163;7.3;248.48;456.67
06:40;0;5275.8;0;3103.41;59.97;3;2585.48;2397.59;0.11;0.13;7;26.65;1480;2000673163;8.14;248.49;389.21
06:45;0;5275.8;0;3103.41;59.97;3;2585.56;2397.67;0.17;0.19;7;42.3;1480;2000673163;8.8;248.07;368.18
06:50;0;5275.81;0;3103.42;59.97;3;2585.65;2397.75;0.19;0.23;7;46.99;1480;2000673163;8.8;247.44;314
06:55;0;5275.82;0;3103.42;59.99;3;2585.73;2397.84;0.24;0.24;7;59.22;1480;2000673163;9.31;248.25;369.5
07:00;0;5275.83;0;3103.43;59.99;3;2585.81;2397.92;0.27;0.25;7;66.87;1480;2000673163;9.88;248.37;391.86
07:05;0;5275.84;0;3103.43;59.97;3;2585.9;2398;0.3;0.29;7;72.99;1480;2000673163;10.1;248.22;360.22
07:10;0;5275.85;0;3103.44;59.97;3;2585.98;2398.09;0.31;0.31;7;77.34;1480;2000673163;10.3;247.43;341.53
