CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:05;0;12016.98;0;7068.81;59.98;3;6281.45;5264.62;0;0;7;0.02;4287;2000673163;7.84;247.72;290.02
07:10;0;12016.98;0;7068.81;59.98;3;6281.53;5264.7;0.01;0.03;7;1.5;4287;2000673163;8.2;247.74;249.78
07:15;0;12016.98;0;7068.81;59.99;3;6281.61;5264.71;0;0.01;3;0.42;4287;2000673163;8.2;248;415.96
07:20;0;12016.98;0;7068.81;59.99;3;6281.7;5264.71;0;0;3;0;4287;2000673163;8.19;247.54;454.84
07:25;0;12016.99;0;7068.82;59.99;3;6281.78;5264.76;0.15;0.14;7;35.87;4288;2000673163;8.75;247.38;418.74
07:30;0;12017;0;7068.82;59.99;3;6281.86;5264.84;0.33;0.31;7;82.36;4288;2000673163;10.04;247.6;364.88
07:35;0;12017.02;0;7068.83;59.99;3;6281.94;5264.93;0.39;0.35;7;96.91;4288;2000673163;10.68;247.69;366.97
07:40;0;12017.03;0;7068.84;59.99;3;6282.03;5265.01;0.41;0.35;7;102.43;4288;2000673163;10.82;247.69;378.86
07:45;0;12017.04;0;7068.85;60;3;6282.11;5265.09;0.42;0.34;7;102.79;4288;2000673163;11.29;248.45;398.29
07:50;0;12017.06;0;7068.86;59.99;3;6282.19;5265.18;0.43;0.35;7;106.68;4288;2000673163;11.53;247.38;402.57
07:55;0;12017.07;0;7068.87;60.01;3;6282.28;5265.26;0.46;0.36;7;114.37;4288;2000673163;11.99;247.58;404.29
08:00;0;12017.09;0;7068.88;60;3;6282.36;5265.34;0.53;0.41;7;130.65;4288;2000673163;12.29;247.9;400.52
