CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:30;0;14103.55;0;8296.21;59.99;3;7383.78;6208.33;0;0;2;0;5098;2000673163;11.3;250.52;290.92
06:35;0;14103.55;0;8296.21;59.98;3;7383.86;6208.4;0;0.02;7;0.99;5101;2000673163;11.32;249.95;262.84
06:40;0;14103.55;0;8296.21;59.98;3;7383.94;6208.48;0.01;0.03;7;1.87;5101;2000673163;11.88;250.33;253.14
06:45;0;14103.55;0;8296.21;59.98;3;7384.02;6208.5;0;0.01;3;0.63;5101;2000673163;11.58;249.58;397.32
06:50;0;14103.55;0;8296.21;59.99;3;7384.11;6208.5;0;0;3;0;5101;2000673163;11.3;249.89;440.23
06:55;0;14103.55;0;8296.21;60;3;7384.19;6208.53;0.05;0.07;7;12.63;5102;2000673163;11.8;250.07;398.04
07:00;0;14103.56;0;8296.21;59.99;3;7384.28;6208.62;0.14;0.17;7;34;5102;2000673163;12.81;249.56;349.04
07:05;0;14103.56;0;8296.21;59.99;3;7384.36;6208.7;0.16;0.21;7;40.39;5102;2000673163;13.19;249.71;324.83
07:10;0;14103.57;0;8296.22;59.99;3;7384.44;6208.78;0.17;0.24;7;42.74;5102;2000673163;13.2;248.24;287.8
07:15;0;14103.58;0;8296.22;59.98;3;7384.53;6208.87;0.22;0.23;7;55.13;5102;2000673163;13.7;247.48;364.11
07:20;0;14103.59;0;8296.23;59.98;3;7384.61;6208.95;0.26;0.25;7;63;5102;2000673163;13.92;247.69;365.07
07:25;0;14103.6;0;8296.23;59.97;3;7384.69;6209.03;0.26;0.24;7;65.32;5102;2000673163;14.47;247.84;396.07
