CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:40;0;10736.52;0;6315.6;60;3;5469.15;4489.77;0;0;2;0;3784;2000673163;15.08;245.56;290.14
07:45;0;10736.52;0;6315.6;60;3;5469.24;4489.84;0.01;0.02;7;1.09;3786;2000673163;15.21;245.06;254.32
07:50;0;10736.52;0;6315.6;59.99;3;5469.32;4489.93;0;0.01;7;0.72;3786;2000673163;15.74;245.38;246.61
07:55;0;10736.52;0;6315.6;60;3;5469.4;4489.99;0.02;0.04;7;4.84;3787;2000673163;15.84;247.3;292.31
08:00;0;10736.52;0;6315.6;59.99;3;5469.49;4490.08;0.16;0.21;7;39.07;3787;2000673163;16.56;247.48;314.05
08:05;0;10736.54;0;6315.61;59.99;3;5469.57;4490.16;0.49;0.41;7;120;3787;2000673163;17.46;247.23;358.42
08:10;0;10736.58;0;6315.63;60;3;5469.65;4490.25;1.05;0.75;7;258.53;3787;2000673163;18.92;247.11;392.56
08:15;0;10736.61;0;6315.65;60;3;5469.74;4490.33;0.85;0.62;7;210.99;3787;2000673163;19.53;247.1;392.87
08:20;0;10736.62;0;6315.66;60;3;5469.82;4490.41;0.51;0.42;7;125.51;3787;2000673163;18.91;246.65;374.49
08:25;0;10736.64;0;6315.67;60;3;5469.9;4490.5;0.42;0.37;7;104.78;3787;2000673163;18.89;247.99;372.43
08:30;0;10736.65;0;6315.68;60;3;5469.99;4490.58;0.36;0.35;7;90.01;3787;2000673163;18.85;248.27;342.37
08:35;0;10736.67;0;6315.69;60;3;5470.07;4490.66;0.36;0.32;7;88.93;3787;2000673163;18.88;247.9;369.38
