CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:35;0;13873.62;0;8160.96;59.96;3;7306.53;6133.26;0;0;3;0;5070;2000673163;4.4;248.56;273
06:40;0;13873.62;0;8160.96;59.97;3;7306.61;6133.26;0;0;3;0.01;5072;2000673163;4.4;249.19;338.72
06:45;0;13873.62;0;8160.96;59.97;3;7306.69;6133.26;0;0;3;0;5072;2000673163;4.4;249.24;410.79
06:50;0;13873.62;0;8160.96;59.97;3;7306.78;6133.26;0;0;3;0;5072;2000673163;4.49;249.72;432.75
06:55;0;13873.62;0;8160.96;59.99;3;7306.86;6133.26;0;0;3;0;5072;2000673163;4.77;249.39;446.99
07:00;0;13873.62;0;8160.96;59.99;3;7306.94;6133.26;0;0;2;0;5072;2000673163;4.94;250.5;455.83
07:05;0;13873.63;0;8160.96;59.98;3;7307.03;6133.34;0.11;0.14;7;27.11;5073;2000673163;5.9;250.67;377.72
07:10;0;13873.63;0;8160.96;59.98;3;7307.11;6133.42;0.14;0.16;7;34.42;5073;2000673163;6.6;249.92;396.91
07:15;0;13873.64;0;8160.96;59.98;3;7307.19;6133.51;0.18;0.2;7;44.97;5073;2000673163;6.88;249.58;370
07:20;0;13873.65;0;8160.97;59.98;3;7307.28;6133.59;0.21;0.21;7;51.07;5073;2000673163;7.08;249.92;389.29
07:25;0;13873.65;0;8160.97;59.97;3;7307.36;6133.67;0.24;0.23;7;59.17;5073;2000673163;7.49;250.41;392.2
07:30;0;13873.66;0;8160.98;59.98;3;7307.44;6133.76;0.26;0.24;7;65.33;5073;2000673163;7.66;250.26;399.5
