CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:10;0;12006.77;0;7062.81;60.02;3;6271.6;5255.16;0;0;2;0;4278;2000673163;7.66;248.64;281
07:15;0;12006.77;0;7062.81;59.97;3;6271.69;5255.2;0;0.02;3;0.87;4282;2000673163;8.17;247.69;289.69
07:20;0;12006.77;0;7062.81;59.97;3;6271.77;5255.2;0;0;3;0;4282;2000673163;8.2;247.46;434.47
07:25;0;12006.77;0;7062.81;59.97;3;6271.85;5255.2;0;0;3;0;4282;2000673163;8.2;247.19;449.91
07:30;0;12006.78;0;7062.81;59.98;3;6271.94;5255.27;0.17;0.18;7;42.7;4283;2000673163;9.09;248.16;382.31
07:35;0;12006.79;0;7062.82;59.99;3;6272.02;5255.35;0.32;0.3;7;79.48;4283;2000673163;10.24;248.13;368.99
07:40;0;12006.8;0;7062.83;60;3;6272.1;5255.43;0.42;0.36;7;103.26;4283;2000673163;10.88;248.03;377.03
07:45;0;12006.82;0;7062.84;60.01;3;6272.18;5255.52;0.49;0.39;7;121.86;4283;2000673163;11.37;247.78;393.84
07:50;0;12006.84;0;7062.85;60;3;6272.27;5255.6;0.59;0.48;7;146.49;4283;2000673163;11.99;247.76;375.74
07:55;0;12006.86;0;7062.86;60.01;3;6272.35;5255.68;0.65;0.5;7;161.17;4283;2000673163;12.44;248.22;391.88
08:00;0;12006.89;0;7062.88;60;3;6272.43;5255.77;0.7;0.53;7;174.6;4283;2000673163;12.75;248.77;393.28
08:05;0;12006.92;0;7062.89;59.99;3;6272.52;5255.85;0.77;0.57;7;190.41;4283;2000673163;13.19;248.42;393.84
