CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:20;0;9040.81;0;5318.12;60.01;3;4731.13;3777.57;0;0;3;0;3435;2000673163;17.7;249.35;242
06:25;0;9040.81;0;5318.12;60;3;4731.21;3777.57;0;0;7;0.01;3437;2000673163;17.7;248.33;290.71
06:30;0;9040.81;0;5318.12;59.99;3;4731.3;3777.65;0.01;0.03;7;1.55;3438;2000673163;18.13;248.21;258.01
06:35;0;9040.81;0;5318.12;59.97;3;4731.38;3777.73;0.03;0.08;7;6.81;3438;2000673163;18.28;247.61;249.28
06:40;0;9040.81;0;5318.12;59.98;3;4731.46;3777.78;0.03;0.06;3;6.09;3438;2000673163;18.29;247.77;326.64
06:45;0;9040.81;0;5318.12;59.97;3;4731.55;3777.78;0;0;3;0;3438;2000673163;18.28;247.33;421.39
06:50;0;9040.81;0;5318.12;59.97;3;4731.63;3777.78;0.01;0.01;7;1.72;3439;2000673163;18.3;247.48;420.96
06:55;0;9040.81;0;5318.12;60;3;4731.71;3777.86;0.11;0.15;7;25.87;3439;2000673163;19.15;248.01;333.27
07:00;0;9040.82;0;5318.13;59.99;3;4731.8;3777.95;0.13;0.16;7;31.95;3439;2000673163;19.6;247.62;355.24
07:05;0;9040.82;0;5318.13;59.97;3;4731.88;3778.03;0.16;0.19;7;39.88;3439;2000673163;20.11;247.19;350.56
07:10;0;9040.83;0;5318.13;59.98;3;4731.96;3778.11;0.18;0.22;7;43.57;3439;2000673163;20.2;246.82;324.16
07:15;0;9040.84;0;5318.14;59.98;3;4732.05;3778.2;0.2;0.23;7;47.91;3439;2000673163;20.3;247.09;331.36
