CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:20;0;7497.01;0;4410;60;3;4199.46;3259.28;0;0;3;0;3223;2000673163;16.7;251.36;278.05
06:25;0;7497.01;0;4410;60.02;3;4199.55;3259.28;0;0;2;0.01;3227;2000673163;16.95;251.17;297.9
06:30;0;7497.01;0;4410;60.02;3;4199.63;3259.36;0;0.02;7;0.91;3228;2000673163;17;251.64;255.84
06:35;0;7497.01;0;4410;60.01;3;4199.71;3259.44;0.01;0.02;7;1.17;3228;2000673163;17.05;252.31;253.47
06:40;0;7497.01;0;4410;59.99;3;4199.8;3259.52;0.02;0.05;7;3.61;3228;2000673163;17.42;251.94;253.21
06:45;0;7497.01;0;4410;59.99;3;4199.88;3259.61;0.03;0.09;7;8.39;3228;2000673163;17.63;252.06;253.35
06:50;0;7497.01;0;4410;59.99;3;4199.96;3259.67;0.01;0.04;0;2.84;3228;2000673163;17.7;252.2;286.9
06:55;0;7497.01;0;4410;60.01;3;4200.05;3259.67;0;0;3;0;3228;2000673163;17.46;251.93;413.3
07:00;0;7497.01;0;4410;60;3;4200.13;3259.67;0;0;3;0;3228;2000673163;17.38;251.56;425.9
07:05;0;7497.01;0;4410.01;59.99;3;4200.21;3259.74;0.1;0.14;7;26.08;3229;2000673163;18.09;251.82;357.78
07:10;0;7497.02;0;4410.01;59.99;3;4200.3;3259.82;0.14;0.21;7;36.22;3229;2000673163;18.62;251.92;292
07:15;0;7497.02;0;4410.01;59.98;3;4200.38;3259.91;0.14;0.22;7;33.75;3229;2000673163;18.79;251.74;265.6
