CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:05;0;2719.61;0;1599.77;60;3;1053.87;1005.53;0;0;7;0.1;503;2000673163;14.49;248.07;282.29
07:10;0;2719.61;0;1599.77;60;3;1053.96;1005.6;0.01;0.03;7;2.07;505;2000673163;14.5;248.01;258.54
07:15;0;2719.61;0;1599.77;60;3;1054.04;1005.68;0.03;0.09;7;7.71;505;2000673163;14.85;247.47;249.07
07:20;0;2719.62;0;1599.77;60;3;1054.13;1005.7;0.01;0.02;3;2.15;505;2000673163;14.67;247.92;388.59
07:25;0;2719.62;0;1599.77;60.01;3;1054.21;1005.7;0;0;3;0;505;2000673163;14.5;248.25;432.17
07:30;0;2719.62;0;1599.77;60.01;3;1054.28;1005.72;0.03;0.04;7;7.64;506;2000673163;14.76;248.08;412
07:35;0;2719.62;0;1599.78;60.01;3;1054.36;1005.8;0.13;0.17;7;33.13;506;2000673163;15.92;248.36;344.56
07:40;0;2719.63;0;1599.78;60.01;3;1054.45;1005.89;0.16;0.2;7;38.5;506;2000673163;16.39;247.86;318.15
07:45;0;2719.63;0;1599.78;60;3;1054.53;1005.97;0.16;0.23;7;39.5;506;2000673163;16.39;248.02;274.38
07:50;0;2719.64;0;1599.79;60;3;1054.61;1006.06;0.22;0.24;7;53.35;506;2000673163;16.63;248.1;341.23
07:55;0;2719.65;0;1599.79;60;3;1054.7;1006.14;0.24;0.24;7;58.78;506;2000673163;17.03;247.45;365.56
08:00;0;2719.66;0;1599.8;60;3;1054.78;1006.22;0.26;0.25;7;64.43;506;2000673163;17.68;247.13;373.07
