CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
05:50;0;6962.42;0;4095.54;60;0;3935.2;3039.5;0;0;0;0;3063;2000673163;13.2;249.95;239.75
05:55;0;6962.42;15;4095.54;60;3;3935.28;3039.5;0;0;8;0;3063;2000673163;13.24;249.64;293.99
06:00;0;6962.42;15;4095.54;59.99;3;3935.36;3039.5;0;0;8;0;3063;2000673163;13.6;250.31;361.91
06:05;0;6962.42;15;4095.54;59.98;3;3935.45;3039.5;0;0;8;0;3063;2000673163;13.89;249.13;396.31
06:10;0;6962.42;15;4095.54;59.98;3;3935.53;3039.5;0;0;8;0;3063;2000673163;13.89;248.5;413.31
06:15;0;6962.42;15;4095.54;59.99;3;3935.61;3039.5;0;0;8;0;3063;2000673163;13.9;248.48;428.51
06:20;0;6962.42;0;4095.54;59.99;3;3935.7;3039.5;0;0;3;0;3063;2000673163;13.9;249.2;435.01
06:25;0;6962.42;0;4095.54;59.98;3;3935.78;3039.54;0.11;0.12;7;27.16;3064;2000673163;14.52;249.21;394.67
06:30;0;6962.43;0;4095.55;59.99;3;3935.86;3039.63;0.23;0.24;7;57.86;3064;2000673163;15.76;249.07;365.64
06:35;0;6962.44;0;4095.55;59.99;3;3935.95;3039.71;0.24;0.25;7;60.36;3064;2000673163;16.28;249.22;358.97
06:40;0;6962.45;0;4095.56;60;3;3936.03;3039.79;0.31;0.3;7;76.99;3064;2000673163;16.38;249;364.34
06:45;0;6962.46;0;4095.57;60;3;3936.11;3039.88;0.34;0.31;7;83.67;3064;2000673163;16.9;248.64;373.36
