CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:15;0;7396.47;0;4350.86;58.88;3;4144.39;3206.3;0;1.21;2;0;3198;2000673163;14.82;243.84;273.48
06:20;0;7396.47;0;4350.86;59.99;3;4144.47;3206.31;0;0;3;0.08;3205;2000673163;15.5;248.32;293.8
06:25;0;7396.47;0;4350.86;59.99;3;4144.55;3206.39;0.01;0.02;7;1.25;3206;2000673163;15.77;248.25;256.84
06:30;0;7396.47;0;4350.86;59.98;3;4144.64;3206.47;0.01;0.03;7;1.95;3206;2000673163;15.8;247.94;249.89
06:35;0;7396.47;0;4350.86;59.96;3;4144.72;3206.56;0.01;0.05;7;3.21;3206;2000673163;16.07;247.65;250.82
06:40;0;7396.47;0;4350.86;59.97;3;4144.8;3206.57;0;0.01;3;0.56;3206;2000673163;15.94;247.17;384.84
06:45;0;7396.47;0;4350.86;59.98;3;4144.89;3206.57;0;0;3;0;3206;2000673163;15.8;246.69;417.99
06:50;0;7396.47;0;4350.86;59.97;3;4144.97;3206.57;0;0;3;0;3206;2000673163;15.8;246.72;419.42
06:55;0;7396.47;0;4350.86;59.99;3;4145.05;3206.57;0;0;3;0;3206;2000673163;15.8;246.1;425.6
07:00;0;7396.47;0;4350.86;59.99;3;4145.14;3206.59;0.02;0.03;7;5.76;3207;2000673163;15.93;247.04;411.89
07:05;0;7396.47;0;4350.87;59.97;3;4145.22;3206.67;0.14;0.17;7;33.75;3207;2000673163;16.99;247.17;345.3
07:10;0;7396.48;0;4350.87;59.99;3;4145.3;3206.75;0.18;0.23;7;43.63;3207;2000673163;17.48;247.26;303.63
