CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:45;0;3637.87;0;2139.93;60.01;3;1529.86;1451.16;0;0;2;0;778;2000673163;6.9;249.45;273.79
06:50;0;3637.87;0;2139.93;60.01;3;1529.95;1451.17;0;0;7;0.17;783;2000673163;6.93;249.12;292.41
06:55;0;3637.87;0;2139.93;60.02;3;1530.05;1451.27;0.02;0.05;7;3.41;783;2000673163;7.46;248.32;249.7
07:00;0;3637.87;0;2139.93;60.02;3;1530.11;1451.34;0.04;0.1;7;9.12;783;2000673163;7.49;247.99;249.44
07:05;0;3637.87;0;2139.93;60;3;1530.2;1451.35;0;0.01;3;0.83;783;2000673163;7.48;247.79;401.46
07:10;0;3637.87;0;2139.93;60.01;3;1530.28;1451.35;0;0;3;0;783;2000673163;7.47;247.34;445.77
07:15;0;3637.87;0;2139.93;60.01;3;1530.36;1451.35;0;0;3;0;783;2000673163;7.49;248.24;452.9
07:20;0;3637.87;0;2139.93;60.01;3;1530.45;1451.35;0;0;3;0;783;2000673163;7.49;249.19;459.06
07:25;0;3637.87;0;2139.93;60.01;3;1530.53;1451.37;0.02;0.03;7;5.46;784;2000673163;7.6;249.4;449.41
07:30;0;3637.88;0;2139.93;60;3;1530.61;1451.45;0.17;0.21;7;41.36;784;2000673163;8.74;249.84;334.45
07:35;0;3637.89;0;2139.93;60.01;3;1530.7;1451.53;0.16;0.23;7;40.76;784;2000673163;8.8;250.2;287.56
07:40;0;3637.89;0;2139.94;60.01;3;1530.78;1451.62;0.17;0.24;7;41.04;784;2000673163;8.87;249.96;268.74
