CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
05:55;0;7562.21;0;4448.36;60.05;3;4227.09;3285.94;0;0;3;0;3243;2000673163;14.5;248.88;263.91
06:00;0;7562.21;0;4448.36;60.04;3;4227.18;3285.94;0;0;7;0.01;3247;2000673163;14.74;248.94;293.01
06:05;0;7562.21;0;4448.36;59.99;3;4227.26;3286.02;0.01;0.03;7;1.83;3248;2000673163;15.07;248.1;255.54
06:10;0;7562.21;0;4448.36;59.99;3;4227.34;3286.1;0.02;0.06;7;4.6;3248;2000673163;15.1;248.21;250.65
06:15;0;7562.22;0;4448.36;59.97;3;4227.43;3286.18;0.05;0.12;7;13.16;3248;2000673163;15.18;247.45;249.35
06:20;0;7562.22;0;4448.36;59.96;3;4227.51;3286.27;0.07;0.15;7;16.75;3248;2000673163;15.63;247.5;251.05
06:25;0;7562.22;0;4448.37;59.96;3;4227.59;3286.35;0.06;0.14;7;15.31;3248;2000673163;15.81;248.47;255.03
06:30;0;7562.22;0;4448.37;59.94;3;4227.68;3286.43;0.09;0.15;7;22.01;3248;2000673163;16.19;248.85;299.6
06:35;0;7562.23;0;4448.37;59.94;3;4227.76;3286.52;0.14;0.17;7;34.08;3248;2000673163;16.56;248.62;361.92
06:40;0;7562.23;0;4448.37;59.95;3;4227.84;3286.6;0.16;0.2;7;40;3248;2000673163;16.99;248.27;339.21
06:45;0;7562.24;0;4448.38;59.95;3;4227.93;3286.68;0.16;0.24;7;39.34;3248;2000673163;16.98;247.92;270.03
06:50;0;7562.25;0;4448.38;59.95;3;4228.01;3286.77;0.21;0.24;7;50.92;3248;2000673163;17.14;247.9;323.3
