CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:50;0;12442.42;0;7319.07;59.98;3;6537.17;5509.42;0;0;3;0;4421;2000673163;6.9;249.92;256.5
06:55;0;12442.42;0;7319.07;60;3;6537.25;5509.42;0;0;2;0;4422;2000673163;6.92;249.99;290.57
07:00;0;12442.42;0;7319.07;60;3;6537.33;5509.49;0;0.01;7;0.78;4424;2000673163;7.33;248.34;264.43
07:05;0;12442.42;0;7319.07;59.98;3;6537.42;5509.57;0.01;0.03;2;2.19;4424;2000673163;7.5;247.16;258.73
07:10;0;12442.42;0;7319.07;59.98;3;6537.5;5509.57;0;0;3;0;4424;2000673163;7.47;247.07;438.04
07:15;0;12442.42;0;7319.07;59.98;3;6537.58;5509.57;0;0;3;0;4424;2000673163;7.48;247.41;445.38
07:20;0;12442.42;0;7319.07;59.99;3;6537.67;5509.57;0;0;3;0;4424;2000673163;7.5;246.44;452.27
07:25;0;12442.42;0;7319.07;60;3;6537.75;5509.57;0;0;3;0;4424;2000673163;7.5;246.45;458.38
07:30;0;12442.42;0;7319.07;60.01;3;6537.83;5509.6;0.11;0.11;7;27.53;4425;2000673163;7.96;247.47;422.8
07:35;0;12442.43;0;7319.08;60.03;3;6537.92;5509.68;0.32;0.3;7;79.21;4425;2000673163;9.3;247.54;366.05
07:40;0;12442.44;0;7319.08;60.02;3;6538;5509.77;0.26;0.26;7;65.09;4425;2000673163;9.78;248.19;357.75
07:45;0;12442.45;0;7319.09;60.02;3;6538.08;5509.85;0.28;0.26;7;67.89;4425;2000673163;10.09;247.65;385.85
