CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:15;0;5308.59;0;3122.7;60.01;3;2596.88;2408.85;0;0;2;0;1481;2000673163;8.21;249.11;273.62
06:20;0;5308.59;0;3122.7;59.99;3;2596.96;2408.88;0;0.01;7;0.38;1483;2000673163;8.62;249.44;289.75
06:25;0;5308.59;0;3122.7;59.97;3;2597.05;2408.96;0.04;0.1;7;10.3;1483;2000673163;8.8;249.42;250.14
06:30;0;5308.59;0;3122.7;59.97;3;2597.13;2409.04;0.08;0.16;7;19.41;1483;2000673163;9.24;249.66;253.09
06:35;0;5308.59;0;3122.7;59.97;3;2597.21;2409.13;0.09;0.17;7;21.47;1483;2000673163;9.75;249.66;257.18
06:40;0;5308.6;0;3122.71;59.97;3;2597.3;2409.21;0.19;0.24;7;47.9;1483;2000673163;10.26;250.05;306.83
06:45;0;5308.61;0;3122.71;59.98;3;2597.38;2409.3;0.23;0.26;7;56.26;1483;2000673163;10.7;249.69;318.83
06:50;0;5308.62;0;3122.72;59.98;3;2597.46;2409.38;0.36;0.35;7;88.34;1483;2000673163;11.25;249.73;336.64
06:55;0;5308.63;0;3122.73;59.98;3;2597.55;2409.46;0.39;0.34;7;97.39;1483;2000673163;11.75;249.28;383.27
07:00;0;5308.65;0;3122.73;59.98;3;2597.63;2409.55;0.44;0.37;7;108.26;1483;2000673163;12.05;248.79;384.8
07:05;0;5308.67;0;3122.75;59.97;3;2597.71;2409.63;0.54;0.45;7;134.68;1483;2000673163;12.58;248.83;373
07:10;0;5308.69;0;3122.76;59.97;3;2597.8;2409.71;0.71;0.53;7;176;1483;2000673163;13.13;249.04;393.79
