CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:40;0;9556.3;0;5621.35;59.99;3;4913.32;3955.02;0;0;2;0;3503;2000673163;14.5;248.32;276.76
06:45;0;9556.3;0;5621.35;59.99;3;4913.4;3955.06;0;0.01;7;0.43;3505;2000673163;14.5;247.05;272.99
06:50;0;9556.3;0;5621.35;59.99;3;4913.48;3955.15;0.01;0.03;7;2.06;3505;2000673163;14.72;247.49;249.65
06:55;0;9556.3;0;5621.35;60;3;4913.57;3955.17;0.01;0.02;3;1.2;3505;2000673163;14.74;247.62;361.87
07:00;0;9556.3;0;5621.35;60;3;4913.65;3955.17;0;0;3;0;3505;2000673163;14.5;247.02;424.97
07:05;0;9556.3;0;5621.35;59.99;3;4913.73;3955.2;0.04;0.06;7;10.88;3506;2000673163;14.77;246.85;406.66
07:10;0;9556.3;0;5621.35;60;3;4913.82;3955.28;0.15;0.18;7;37.2;3506;2000673163;15.96;246.98;352.18
07:15;0;9556.31;0;5621.36;60;3;4913.9;3955.36;0.22;0.23;7;52.91;3506;2000673163;16.39;246.38;344.17
07:20;0;9556.32;0;5621.37;60;3;4913.98;3955.45;0.33;0.3;7;81.54;3506;2000673163;16.81;245.61;376.53
07:25;0;9556.34;0;5621.37;59.99;3;4914.07;3955.53;0.44;0.36;7;109.39;3506;2000673163;17.59;246.74;392.01
07:30;0;9556.36;0;5621.39;60;3;4914.15;3955.61;0.52;0.42;7;127.05;3506;2000673163;17.83;247.08;381
07:35;0;9556.38;0;5621.4;59.98;3;4914.23;3955.7;0.62;0.48;7;153.14;3506;2000673163;18.28;247.04;384.86
