CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:00;0;11908.5;0;7005;60.12;3;6202.99;5189.81;0;0;2;0;4235;2000673163;3.7;251.08;274
07:05;0;11908.5;0;7005;59.98;3;6203.08;5189.82;0;0;7;0.05;4241;2000673163;3.78;250.35;293.77
07:10;0;11908.5;0;7005;59.99;3;6203.16;5189.9;0.01;0.02;7;1.09;4241;2000673163;4.36;249.84;251.25
07:15;0;11908.5;0;7005;59.99;3;6203.24;5189.99;0.01;0.04;7;2.96;4241;2000673163;4.43;249.6;252.51
07:20;0;11908.51;0;7005;59.98;3;6203.33;5190.07;0.06;0.14;7;14.68;4241;2000673163;4.45;249.44;250
07:25;0;11908.51;0;7005;59.97;3;6203.41;5190.15;0.04;0.1;6;9.38;4241;2000673163;4.95;249.22;261.08
07:30;0;11908.51;0;7005.01;59.97;3;6203.49;5190.24;0.06;0.11;7;14.89;4241;2000673163;5.47;248.45;335
07:35;0;11908.51;0;7005.01;59.96;3;6203.58;5190.32;0.1;0.14;7;23.86;4241;2000673163;5.65;248.33;333.75
07:40;0;11908.52;0;7005.01;59.96;3;6203.66;5190.4;0.15;0.18;7;37.08;4241;2000673163;6.26;248.66;357.5
07:45;0;11908.52;0;7005.01;59.97;3;6203.74;5190.49;0.19;0.23;7;46.03;4241;2000673163;6.3;247.44;321.87
07:50;0;11908.53;0;7005.02;59.99;3;6203.83;5190.57;0.23;0.26;7;57.68;4241;2000673163;6.53;247.38;330.2
07:55;0;11908.54;0;7005.03;60.01;3;6203.91;5190.65;0.28;0.27;7;68.45;4241;2000673163;6.88;247.6;364.74
