CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:55;0;11622.99;0;6837.05;60.01;3;5970.89;4970.29;0;0;2;0;4069;2000673163;7.49;250.93;291.43
07:00;0;11622.99;0;6837.05;60.02;3;5970.98;4970.38;0.02;0.07;7;5.89;4070;2000673163;7.57;250.71;251.47
07:05;0;11622.99;0;6837.05;60;3;5971.06;4970.46;0.06;0.14;7;15.52;4070;2000673163;8.13;249.27;252.04
07:10;0;11622.99;0;6837.06;60.01;3;5971.14;4970.54;0.1;0.14;7;25.32;4070;2000673163;8.72;248.84;347.89
07:15;0;11623;0;6837.06;60.01;3;5971.23;4970.63;0.19;0.22;7;47.26;4070;2000673163;9.28;248.73;347.84
07:20;0;11623.01;0;6837.07;60;3;5971.31;4970.71;0.29;0.28;7;72.13;4070;2000673163;9.79;248.12;365.2
07:25;0;11623.02;0;6837.07;60;3;5971.39;4970.79;0.4;0.34;7;98.71;4070;2000673163;10.33;248.63;383.91
07:30;0;11623.04;0;6837.08;60;3;5971.48;4970.88;0.5;0.41;7;124.62;4070;2000673163;10.79;249.08;381.71
07:35;0;11623.06;0;6837.1;60.01;3;5971.56;4970.96;0.61;0.47;7;150.76;4070;2000673163;11.28;248.97;393.75
07:40;0;11623.09;0;6837.11;60.01;3;5971.64;4971.04;0.71;0.53;7;177.37;4070;2000673163;11.95;248.9;396.56
07:45;0;11623.12;0;6837.13;60.02;3;5971.73;4971.13;0.82;0.59;7;204.5;4070;2000673163;12.47;248.9;405.38
07:50;0;11623.15;0;6837.15;60.02;3;5971.81;4971.21;0.9;0.64;7;223.99;4070;2000673163;12.99;248.53;406.11
