CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:00;0;4276.68;0;2515.7;59.99;3;1983.17;1882.78;0;0;2;0;1041;2000673163;8.2;247.32;273.21
07:05;0;4276.68;0;2515.7;59.99;3;1983.25;1882.78;0;0;3;0;1045;2000673163;8.3;247.34;292.27
07:10;0;4276.68;0;2515.7;59.98;3;1983.34;1882.84;0;0.02;7;0.83;1048;2000673163;8.75;247.64;267.23
07:15;0;4276.68;0;2515.7;59.98;3;1983.42;1882.87;0;0.01;3;0.87;1048;2000673163;8.78;247.91;372.57
07:20;0;4276.68;0;2515.7;59.99;3;1983.5;1882.87;0;0;3;0;1048;2000673163;8.74;247.25;441.22
07:25;0;4276.69;0;2515.7;59.99;3;1983.59;1882.89;0.05;0.06;7;12.25;1049;2000673163;8.98;246.78;418.57
07:30;0;4276.69;0;2515.7;59.99;3;1983.67;1882.98;0.19;0.2;7;46.56;1049;2000673163;10.14;246.55;367.48
07:35;0;4276.7;0;2515.71;59.99;3;1983.75;1883.06;0.23;0.21;7;55.4;1049;2000673163;10.72;245.59;404.31
07:40;0;4276.71;0;2515.71;59.99;3;1983.84;1883.15;0.32;0.28;7;77.55;1049;2000673163;11.24;246.19;392.47
07:45;0;4276.73;0;2515.72;59.99;3;1983.92;1883.23;0.43;0.34;7;104.53;1049;2000673163;11.84;246.32;404.56
07:50;0;4276.74;0;2515.73;60;3;1984;1883.31;0.57;0.45;7;140.03;1049;2000673163;12.23;245.76;383.92
07:55;0;4276.77;0;2515.75;60;3;1984.09;1883.4;0.69;0.51;7;168.64;1049;2000673163;12.72;246;392.58
