CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:40;0;9377.58;0;5516.22;59.99;3;4849.34;3892.3;0;0;3;0;3475;2000673163;15.8;250.79;283.15
06:45;0;9377.58;0;5516.22;59.98;3;4849.42;3892.36;0;0.02;7;1.05;3478;2000673163;15.97;250.37;268.78
06:50;0;9377.58;0;5516.22;59.98;3;4849.5;3892.44;0.02;0.06;7;4.43;3478;2000673163;16.38;249.5;251.3
06:55;0;9377.58;0;5516.22;59.98;3;4849.59;3892.52;0.03;0.09;7;8.33;3478;2000673163;16.38;249.4;252.92
07:00;0;9377.58;0;5516.22;59.98;3;4849.67;3892.61;0.03;0.09;7;8.19;3478;2000673163;16.7;250.57;256.42
07:05;0;9377.58;0;5516.23;59.98;3;4849.75;3892.69;0.09;0.15;7;23.38;3478;2000673163;17.2;250.86;321.93
07:10;0;9377.59;0;5516.23;59.98;3;4849.84;3892.77;0.09;0.13;7;23.12;3478;2000673163;17.68;250.38;362.55
07:15;0;9377.59;0;5516.23;59.97;3;4849.92;3892.86;0.09;0.13;7;23.38;3478;2000673163;17.75;250.15;366.42
07:20;0;9377.6;0;5516.23;59.97;3;4850;3892.94;0.18;0.2;7;44.43;3478;2000673163;18.28;249.79;371.41
07:25;0;9377.61;0;5516.24;59.96;3;4850.09;3893.02;0.26;0.26;7;65.3;3478;2000673163;18.38;249.88;359.68
07:30;0;9377.62;0;5516.25;59.95;3;4850.17;3893.11;0.4;0.35;7;99.51;3478;2000673163;18.88;249.21;371.13
07:35;0;9377.64;0;5516.26;59.96;3;4850.25;3893.19;0.5;0.41;7;124.71;3478;2000673163;19.43;248.87;381.78
