CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:40;0;1906.6;0;1121.53;59.99;3;689.7;652.11;0;0;3;0;320;2000673163;15.1;249.34;269.4
06:45;0;1906.6;0;1121.53;59.99;3;689.79;652.14;0;0.01;7;0.38;323;2000673163;15.32;249.63;278.45
06:50;0;1906.6;0;1121.53;59.99;3;689.87;652.22;0.01;0.04;7;2.71;323;2000673163;15.78;249.37;251.26
06:55;0;1906.6;0;1121.53;59.99;3;689.95;652.27;0.01;0.03;3;1.88;323;2000673163;15.82;249.37;329.37
07:00;0;1906.6;0;1121.53;60;3;690.04;652.27;0;0;3;0;323;2000673163;15.79;249.08;427.32
07:05;0;1906.6;0;1121.53;59.97;3;690.12;652.27;0.01;0.01;7;2.7;324;2000673163;15.84;248.66;427.91
07:10;0;1906.6;0;1121.53;59.99;3;690.2;652.36;0.15;0.18;7;36.21;324;2000673163;16.79;248.59;354.53
07:15;0;1906.61;0;1121.54;59.99;3;690.29;652.44;0.2;0.23;7;49.12;324;2000673163;17.41;248.77;341.64
07:20;0;1906.62;0;1121.54;60;3;690.37;652.52;0.27;0.26;7;65.58;324;2000673163;17.75;247.44;364.58
07:25;0;1906.63;0;1121.55;59.98;3;690.45;652.61;0.3;0.28;7;73.57;324;2000673163;18.27;248.06;378.21
07:30;0;1906.64;0;1121.56;59.97;3;690.53;652.69;0.33;0.3;7;81.18;324;2000673163;18.5;248.12;374.51
07:35;0;1906.66;0;1121.56;60;3;690.62;652.77;0.35;0.31;7;85.82;324;2000673163;18.88;247.87;380.66
07:40;0;1906.67;0;1121.57;60;3;690.7;652.86;0.37;0.34;7;90.73;324;2000673163;18.9;247.32;352.93
