CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:05;0;12147.18;0;7145.4;30.21;3;6371.89;5351.56;0;0;3;0;4336;2000673163;8.2;259.25;230.5
07:10;0;12147.18;0;7145.4;60;3;6371.98;5351.56;0;0;3;0;4339;2000673163;8.57;253.28;288.69
07:15;0;12147.18;0;7145.4;60;3;6372.06;5351.63;0;0.02;7;0.88;4340;2000673163;8.8;253.41;265.97
07:20;0;12147.18;0;7145.4;59.99;3;6372.14;5351.71;0.03;0.07;7;6.25;4340;2000673163;8.81;252.61;254.24
07:25;0;12147.19;0;7145.4;59.98;3;6372.23;5351.79;0.03;0.08;7;8.37;4340;2000673163;9.34;252.41;309.42
07:30;0;12147.19;0;7145.4;59.98;3;6372.31;5351.88;0.06;0.12;7;15.76;4340;2000673163;10.04;251.7;309.45
07:35;0;12147.19;0;7145.41;59.97;3;6372.39;5351.96;0.11;0.17;7;28.49;4340;2000673163;10.15;251.51;319.24
07:40;0;12147.2;0;7145.41;59.98;3;6372.48;5352.05;0.18;0.22;7;44.16;4340;2000673163;10.68;251.26;325.6
07:45;0;12147.2;0;7145.41;59.97;3;6372.56;5352.13;0.19;0.25;7;47.03;4340;2000673163;10.7;251.49;300.71
07:50;0;12147.21;0;7145.42;59.97;3;6372.64;5352.21;0.26;0.27;7;64.99;4340;2000673163;11.23;251.77;349.55
07:55;0;12147.23;0;7145.43;60;3;6372.73;5352.3;0.3;0.3;7;74.14;4340;2000673163;11.48;251.68;353.97
08:00;0;12147.24;0;7145.43;60;3;6372.81;5352.38;0.31;0.32;7;77.1;4340;2000673163;11.95;249.86;337.6
