CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:05;0;6240.75;0;3671.03;60.02;3;3239.75;2760.95;0;0;3;0;2112;2000673163;10.1;247.75;247
06:10;0;6240.75;0;3671.03;60.03;3;3239.83;2760.95;0;0;3;0;2112;2000673163;10.11;247.97;317.97
06:15;0;6240.75;53;3671.03;60.03;3;3239.92;2760.95;0;0;8;0;2112;2000673163;10.18;248.09;388.27
06:20;0;6240.75;53;3671.03;60;3;3240;2760.95;0;0;8;0;2112;2000673163;10.47;248.83;417.29
06:25;0;6240.75;53;3671.03;59.99;3;3240.08;2760.95;0;0;8;0;2112;2000673163;10.68;249.34;433.28
06:30;0;6240.75;0;3671.03;59.99;3;3240.17;2760.95;0;0;3;0;2112;2000673163;10.69;249.16;443.17
06:35;0;6240.75;0;3671.03;59.98;3;3240.25;2760.97;0.04;0.05;7;10.03;2113;2000673163;10.89;248.89;417.01
06:40;0;6240.76;0;3671.04;59.97;3;3240.33;2761.06;0.16;0.21;7;39.01;2113;2000673163;11.95;248.57;300.55
06:45;0;6240.77;0;3671.04;59.97;3;3240.41;2761.14;0.21;0.23;7;52.47;2113;2000673163;12.43;248.12;348.03
06:50;0;6240.78;0;3671.04;59.98;3;3240.5;2761.22;0.26;0.25;7;63.07;2113;2000673163;12.86;247.8;372.49
06:55;0;6240.79;15;3671.05;59.99;3;3240.58;2761.3;0.28;0.27;8;68.4;2113;2000673163;13.18;247.52;363.32
07:00;0;6240.79;15;3671.05;59.99;3;3240.67;2761.3;0;0;8;0;2113;2000673163;12.17;246.85;466.44
07:05;0;6240.79;15;3671.05;59.97;3;3240.75;2761.3;0;0;8;0;2113;2000673163;11.98;245.46;468
