CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:20;0;3157.78;0;1857.52;59.98;3;1251.53;1194.52;0;0;3;0;603;2000673163;12.63;250.16;269.4
06:25;0;3157.78;0;1857.52;59.98;3;1251.61;1194.54;0;0;7;0.18;607;2000673163;13.04;249.67;287.73
06:30;0;3157.78;0;1857.52;59.99;3;1251.69;1194.62;0.01;0.03;7;1.97;607;2000673163;13.2;249.87;251.63
06:35;0;3157.78;0;1857.52;59.98;3;1251.78;1194.65;0.01;0.02;3;1.46;607;2000673163;13.24;248.78;354.86
06:40;0;3157.78;0;1857.52;59.99;3;1251.86;1194.65;0;0;3;0;607;2000673163;13.19;248.23;428.72
06:45;0;3157.78;0;1857.52;59.99;3;1251.94;1194.67;0.05;0.05;7;12.01;608;2000673163;13.37;246.74;418.71
06:50;0;3157.79;0;1857.52;59.98;3;1252.03;1194.76;0.23;0.25;7;57.42;608;2000673163;14.6;246.61;346.76
06:55;0;3157.8;0;1857.53;60;3;1252.11;1194.84;0.23;0.23;7;55.36;608;2000673163;15.09;245.9;371.37
07:00;0;3157.81;0;1857.53;59.99;3;1252.19;1194.92;0.27;0.25;7;66.32;608;2000673163;15.43;246.07;382
07:05;0;3157.81;0;1857.54;59.99;3;1252.28;1194.95;0.13;0.11;3;31.37;608;2000673163;15.11;245.54;436.95
07:10;0;3157.81;0;1857.54;59.98;3;1252.36;1194.96;0.09;0.07;7;22.01;609;2000673163;14.53;245.77;454.72
07:15;0;3157.84;0;1857.55;59.98;3;1252.44;1195.05;0.65;0.49;7;158.41;609;2000673163;16.23;245.18;388.71
