CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:40;0;4994.49;0;2937.93;59.98;3;2470.13;2286.44;0;0;3;0;1425;2000673163;11.3;249.11;261
06:45;0;4994.49;0;2937.93;59.98;3;2470.22;2286.47;0;0.01;7;0.39;1428;2000673163;11.31;248.27;276.17
06:50;0;4994.49;0;2937.93;59.98;3;2470.3;2286.52;0;0.02;3;1;1428;2000673163;11.73;248.38;336.67
06:55;0;4994.49;0;2937.93;59.99;3;2470.38;2286.52;0;0;3;0;1428;2000673163;11.36;248.44;415.08
07:00;0;4994.49;0;2937.93;59.99;3;2470.47;2286.52;0;0;3;0;1428;2000673163;11.75;247.05;424.19
07:05;0;4994.49;0;2937.93;59.97;3;2470.55;2286.52;0;0;3;0;1428;2000673163;11.96;245.84;423.21
07:10;0;4994.49;0;2937.93;59.97;3;2470.63;2286.52;0;0;3;0;1428;2000673163;12;246.4;419.75
07:15;0;4994.49;0;2937.93;59.97;3;2470.72;2286.57;0.06;0.09;7;14.43;1429;2000673163;12.48;245.75;357.23
07:20;0;4994.49;0;2937.94;59.97;3;2470.8;2286.65;0.11;0.16;7;27.1;1429;2000673163;13.2;245.99;317.51
07:25;0;4994.5;0;2937.94;59.98;3;2470.89;2286.74;0.3;0.32;7;73;1429;2000673163;13.69;246.54;315
07:30;0;4994.52;0;2937.95;59.98;3;2470.97;2286.82;0.46;0.39;7;111.68;1429;2000673163;14.43;246.02;364.43
07:35;0;4994.53;0;2937.96;59.98;3;2471.05;2286.9;0.43;0.36;7;105;1429;2000673163;14.78;246.02;377.2
