2009;08;11 ; TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
2009;08;12 ; 06:35;0;730.68;0;429.81;59.99;3;253.6;231.32;0.01;0.03;7;1.68;128;2000673163;16.35;249.12;250.18
2009;08;12 ; 06:40;0;730.68;0;429.81;59.99;3;253.68;231.4;0.01;0.05;7;3.18;128;2000673163;16.4;248.96;251.36
2009;08;12 ; 06:45;0;730.68;0;429.81;59.98;3;253.77;231.43;0.01;0.02;3;1.35;128;2000673163;16.43;249.28;354.28
2009;08;12 ; 06:50;0;730.68;0;429.81;59.99;3;253.85;231.43;0;0;3;0;128;2000673163;16.4;249.38;421.69
2009;08;12 ; 06:55;0;730.69;0;429.82;60;3;253.93;231.45;0.03;0.04;7;7.53;129;2000673163;16.51;249.48;406.35
2009;08;12 ; 07:00;0;730.69;0;429.82;60;3;254.02;231.53;0.17;0.21;7;42.32;129;2000673163;17.58;250.07;327.27
2009;08;12 ; 07:05;0;730.7;0;429.82;59.98;3;254.1;231.62;0.19;0.24;7;47.35;129;2000673163;17.81;250.25;304.27
2009;08;12 ; 07:10;0;730.71;0;429.83;59.99;3;254.18;231.7;0.22;0.23;7;55.01;129;2000673163;18.3;249.38;362.6
2009;08;12 ; 07:15;0;730.72;0;429.83;59.99;3;254.26;231.78;0.28;0.26;7;69.89;129;2000673163;18.77;249.19;381.26
2009;08;12 ; 07:25;0;730.74;0;429.85;59.99;3;254.43;231.95;0.43;0.37;7;105.51;129;2000673163;19.33;248.41;370.58
2009;08;12 ; 07:30;0;730.76;0;429.86;59.98;3;254.52;232.03;0.5;0.43;7;124;129;2000673163;19.67;248.41;367.6
2009;08;12 ; 07:35;0;730.78;0;429.87;59.98;3;254.6;232.12;0.58;0.47;7;144.63;129;2000673163;20.18;248.39;374.09
2009;08;12 ; 07:40;0;730.8;0;429.89;59.98;3;254.68;232.2;0.65;0.51;7;161.37;129;2000673163;20.49;248.46;381.14
2009;08;12 ; 07:45;0;730.83;0;429.9;59.98;3;254.77;232.28;0.7;0.54;7;172.99;129;2000673163;20.8;248.67;384.12
2009;08;12 ; 07:50;0;730.86;0;429.92;59.97;3;254.85;232.37;0.75;0.57;7;186.13;129;2000673163;21.33;248.84;383.65
2009;08;12 ; 07:55;0;730.89;0;429.93;59.99;3;254.93;232.45;0.88;0.65;7;217.29;129;2000673163;21.62;248.17;390.22
2009;08;12 ; 08:00;0;730.92;0;429.95;59.99;3;255.02;232.53;0.97;0.7;7;240.37;129;2000673163;22.1;248.27;393.6
2009;08;12 ; 08:05;0;730.96;0;429.98;59.98;3;255.1;232.62;1.11;0.79;7;274.53;129;2000673163;22.67;247.91;393.78
2009;08;12 ; 08:10;0;731.01;0;430;59.98;3;255.18;232.7;1.3;0.91;7;323.17;129;2000673163;23.31;248.6;397.72
2009;08;12 ; 08:15;0;731.06;0;430.04;59.98;3;255.26;232.78;1.58;1.09;7;393.88;129;2000673163;24.35;249.54;398.11
2009;08;12 ; 08:20;0;731.12;0;430.07;59.98;3;255.35;232.87;1.71;1.17;7;426.82;129;2000673163;25.27;249.32;400.01
2009;08;12 ; 08:25;0;731.18;0;430.11;59.98;3;255.43;232.95;1.72;1.17;7;426.96;129;2000673163;25.75;248.57;399.46
2009;08;12 ; 08:30;0;731.24;0;430.14;59.98;3;255.51;233.03;1.76;1.19;7;435.47;129;2000673163;26.16;247.97;397.91
2009;08;12 ; 08:35;0;731.31;0;430.18;59.98;3;255.6;233.12;1.8;1.21;7;445.4;129;2000673163;26.52;247.96;401.26
2009;08;12 ; 08:40;0;731.38;0;430.22;59.98;3;255.68;233.2;2.01;1.34;7;497.52;129;2000673163;27.38;247.98;402.45
2009;08;12 ; 08:45;0;731.46;0;430.27;59.98;3;255.77;233.28;2.22;1.47;7;550.99;129;2000673163;28.12;248.23;403.47
2009;08;12 ; 08:50;0;731.54;0;430.32;59.98;3;255.85;233.37;2.42;1.59;7;599.77;129;2000673163;29.08;248.06;404.42
2009;08;12 ; 08:55;0;731.64;0;430.37;60;3;255.93;233.45;2.69;1.75;7;668.78;129;2000673163;30.08;248.3;407.36
2009;08;12 ; 09:00;0;731.74;0;430.44;60;3;256.01;233.53;2.93;1.91;7;728.76;129;2000673163;31.19;248.92;405.72
2009;08;12 ; 09:05;0;731.86;0;430.5;59.99;3;256.1;233.62;3.26;2.11;7;811.9;129;2000673163;32.35;248.79;408.05
2009;08;12 ; 09:10;0;731.97;0;430.57;59.99;3;256.18;233.7;3.4;2.19;7;845.29;129;2000673163;33.41;248.49;407.16
2009;08;12 ; 09:15;0;732.09;0;430.64;59.99;3;256.27;233.78;3.32;2.14;7;822.85;129;2000673163;33.89;248.32;406.97
2009;08;12 ; 09:20;0;732.21;0;430.71;59.99;3;256.35;233.87;3.39;2.18;7;841.92;129;2000673163;34.35;248.67;407.65
2009;08;12 ; 09:25;0;732.34;0;430.79;59.99;3;256.43;233.95;3.67;2.36;7;912.03;129;2000673163;35.27;248.55;407.51
2009;08;12 ; 09:30;0;732.49;0;430.87;59.98;3;256.52;234.03;4.14;2.64;7;1028.97;129;2000673163;36.72;248.37;409.03
2009;08;12 ; 09:35;0;732.65;0;430.97;59.99;3;256.6;234.12;4.59;2.93;7;1141.19;129;2000673163;38.48;248.45;409.09
2009;08;12 ; 09:40;0;732.81;0;431.07;59.98;3;256.68;234.2;4.67;2.99;7;1162.03;129;2000673163;39.55;248.91;408.11
2009;08;12 ; 09:45;0;732.98;0;431.16;59.98;3;256.76;234.28;4.65;2.99;7;1157.44;129;2000673163;40.44;248.8;405.96
2009;08;12 ; 09:50;0;733.14;0;431.26;59.99;3;256.85;234.37;4.73;3.04;7;1179.31;129;2000673163;40.98;249.24;406.14
2009;08;12 ; 09:55;0;733.32;0;431.37;59.99;3;256.93;234.45;5.12;3.31;7;1280.45;129;2000673163;42.65;250.33;405.41
2009;08;12 ; 10:00;0;733.51;0;431.48;60;3;257.02;234.53;5.25;3.4;7;1312.99;129;2000673163;43.56;250.21;404.1
2009;08;12 ; 10:05;0;733.7;0;431.59;59.99;3;257.1;234.62;5.51;3.55;7;1375.42;129;2000673163;45.49;249.82;404.56
2009;08;12 ; 10:10;0;733.9;0;431.71;59.99;3;257.18;234.7;5.47;3.56;7;1366.73;129;2000673163;46.1;249.94;400.93
2009;08;12 ; 10:15;0;734.11;0;431.83;59.99;3;257.27;234.78;5.85;3.78;7;1462.43;129;2000673163;47.29;250.05;404.27
2009;08;12 ; 10:20;0;734.34;0;431.96;59.99;3;257.35;234.87;6.55;4.18;7;1636.5;129;2000673163;51.09;250.01;407.99
2009;08;12 ; 10:25;0;734.58;0;432.1;59.98;3;257.43;234.95;6.82;4.38;7;1701.83;129;2000673163;53.58;249.7;404.66
2009;08;12 ; 10:30;0;734.83;0;432.25;59.98;3;257.52;235.03;7;4.52;7;1743.61;129;2000673163;55.54;249.29;402.4
2009;08;12 ; 10:35;0;735.08;0;432.4;59.98;3;257.6;235.12;7.28;4.68;7;1810.57;129;2000673163;57.76;248.9;402.87
2009;08;12 ; 10:40;0;735.35;0;432.56;59.98;3;257.68;235.2;7.54;4.85;7;1873.32;129;2000673163;58.55;248.39;402.57
2009;08;12 ; 10:45;0;735.62;0;432.72;59.98;3;257.76;235.28;7.84;5.03;7;1942.22;129;2000673163;54.96;247.77;402.09
2009;08;12 ; 10:50;0;735.9;0;432.88;59.98;3;257.85;235.37;8;5.17;7;1986.61;129;2000673163;53.41;248.41;400.19
2009;08;12 ; 10:55;0;736.19;0;433.06;59.99;3;257.93;235.45;8.18;5.33;7;2042.43;129;2000673163;53.09;249.57;399.16
2009;08;12 ; 11:00;0;736.49;0;433.23;59.99;3;258.01;235.53;8.42;5.49;7;2103.21;129;2000673163;53.05;249.79;398.82
2009;08;12 ; 11:05;0;736.79;0;433.41;60;3;258.1;235.62;8.62;5.6;7;2150.25;129;2000673163;53.09;249.62;399.7
2009;08;12 ; 11:10;0;737.11;0;433.6;60;3;258.18;235.7;8.99;5.82;7;2239.86;129;2000673163;53.44;249.23;400.77
2009;08;12 ; 11:15;0;737.44;0;433.79;60;3;258.27;235.78;9.25;5.98;7;2304.88;129;2000673163;54.16;249.28;401.13
2009;08;12 ; 11:20;0;737.77;0;433.99;59.98;3;258.35;235.87;9.46;6.13;7;2363.78;129;2000673163;54.53;249.91;401.5
2009;08;12 ; 11:25;0;738.12;0;434.19;59.99;3;258.43;235.95;9.69;6.27;7;2422.21;129;2000673163;55.04;249.93;401.92
2009;08;12 ; 11:30;0;738.47;0;434.39;59.99;3;258.51;236.03;9.9;6.4;7;2471.46;129;2000673163;55.55;249.73;402.19
2009;08;12 ; 11:35;0;738.82;0;434.6;59.98;3;258.6;236.12;10.07;6.52;7;2513.99;129;2000673163;55.85;249.75;401.33
2009;08;12 ; 11:40;0;739.19;0;434.82;59.99;3;258.68;236.2;10.24;6.65;7;2556.26;129;2000673163;56.34;249.78;400.13
2009;08;12 ; 11:45;0;739.56;0;435.03;59.99;3;258.77;236.28;10.42;6.79;7;2610.55;129;2000673163;56.86;250.51;400.15
2009;08;12 ; 11:50;0;739.93;0;435.25;59.98;3;258.85;236.37;10.6;6.93;7;2652.87;129;2000673163;57.44;250.23;398.82
2009;08;12 ; 11:55;0;740.31;0;435.48;59.99;3;258.93;236.45;10.78;7.05;7;2698.27;129;2000673163;58.05;250.27;398.29
2009;08;12 ; 12:00;0;740.7;0;435.71;59.99;3;259.01;236.53;10.95;7.19;7;2745.45;129;2000673163;58.54;250.71;397.81
2009;08;12 ; 12:05;0;741.09;0;435.94;60;3;259.1;236.62;11.11;7.27;7;2779.95;129;2000673163;59.17;250.31;398.12
2009;08;12 ; 12:10;0;741.5;0;436.18;59.98;3;259.18;236.7;11.28;7.41;7;2821.09;129;2000673163;59.79;250.09;396.63
2009;08;12 ; 12:15;0;741.9;0;436.41;59.98;3;259.26;236.78;11.45;7.5;7;2859.87;129;2000673163;60.35;249.73;397.43
2009;08;12 ; 12:20;0;742.31;0;436.65;59.98;3;259.35;236.87;11.6;7.62;7;2897.35;129;2000673163;60.69;249.84;396.19
2009;08;12 ; 12:25;0;742.73;0;436.9;59.98;3;259.43;236.95;11.73;7.72;7;2937.67;129;2000673163;60.89;250.49;396.24
2009;08;12 ; 12:30;0;743.14;0;437.14;59.98;3;259.51;237.03;11.89;7.8;7;2969.74;129;2000673163;61.27;249.82;396.7
2009;08;12 ; 12:35;0;743.57;0;437.4;59.98;3;259.6;237.12;12.04;7.93;7;3007.76;129;2000673163;61.55;249.79;395.35
2009;08;12 ; 12:40;0;744.01;0;437.65;59.98;3;259.68;237.2;12.17;8.02;7;3039.49;129;2000673163;61.95;249.84;394.91
2009;08;12 ; 12:45;0;744.44;0;437.91;59.98;3;259.76;237.28;12.26;8.09;7;3065.23;129;2000673163;62.11;249.98;394.56
2009;08;12 ; 12:50;0;744.88;0;438.16;59.98;3;259.85;237.37;12.43;8.2;7;3106.83;129;2000673163;62.48;249.95;395.05
2009;08;12 ; 12:55;0;745.32;0;438.43;59.98;3;259.93;237.45;12.55;8.25;7;3137.24;129;2000673163;62.62;249.91;396.37
2009;08;12 ; 13:00;0;745.77;0;438.69;59.98;3;260.01;237.53;12.66;8.35;7;3165.96;129;2000673163;63.05;250.16;395.31
2009;08;12 ; 13:05;0;746.22;0;438.95;59.98;3;260.1;237.62;12.72;8.42;7;3183.53;129;2000673163;63.11;250.28;394.13
