CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:20;0;8885.78;0;5226.93;60;3;4678.02;3725.52;0;0;3;0;3418;2000673163;13.2;252.2;281.06
06:25;0;8885.78;0;5226.93;59.99;3;4678.1;3725.59;0;0.01;7;0.61;3420;2000673163;13.41;252.31;265.03
06:30;0;8885.78;0;5226.93;59.97;3;4678.18;3725.67;0.01;0.03;7;1.87;3420;2000673163;13.88;252.28;254.64
06:35;0;8885.78;0;5226.93;59.96;3;4678.26;3725.7;0;0.02;3;1.08;3420;2000673163;13.88;252.16;364.38
06:40;0;8885.78;0;5226.93;59.95;3;4678.35;3725.7;0;0;3;0;3420;2000673163;13.85;252.12;434.08
06:45;0;8885.78;0;5226.93;59.95;3;4678.43;3725.72;0.03;0.04;7;8.42;3421;2000673163;13.98;252.08;416.99
06:50;0;8885.79;0;5226.93;59.95;3;4678.51;3725.81;0.15;0.19;7;36.72;3421;2000673163;14.9;252.05;341.43
06:55;0;8885.79;0;5226.94;59.97;3;4678.6;3725.89;0.17;0.19;7;42.18;3421;2000673163;15.4;252.08;371.99
07:00;0;8885.8;0;5226.94;59.99;3;4678.68;3725.97;0.22;0.23;7;55.35;3421;2000673163;15.88;252.1;373.34
07:05;0;8885.81;0;5226.95;60;3;4678.77;3726.06;0.3;0.29;7;73.99;3421;2000673163;16.38;251.81;365.97
07:10;0;8885.82;0;5226.95;59.97;3;4678.85;3726.14;0.3;0.31;7;76.34;3421;2000673163;16.54;251.45;344.44
07:15;0;8885.83;0;5226.96;59.97;3;4678.93;3726.22;0.32;0.3;7;79.75;3421;2000673163;17.01;251.8;375.51
