CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:55;0;12464.13;0;7331.84;60.01;3;6547.8;5519.47;0;0;2;0;4428;2000673163;4.37;248.37;306.37
07:00;0;12464.13;0;7331.84;59.99;3;6547.88;5519.55;0.01;0.02;7;1.08;4430;2000673163;4.42;248.31;256.3
07:05;0;12464.13;0;7331.84;59.99;3;6547.97;5519.62;0.01;0.03;0;2.1;4430;2000673163;4.92;247.66;267.56
07:10;0;12464.13;0;7331.84;59.99;3;6548.05;5519.62;0;0;3;0;4430;2000673163;4.44;247.03;450.14
07:15;0;12464.13;0;7331.84;59.99;3;6548.13;5519.62;0;0;3;0;4430;2000673163;4.4;247.66;460.04
07:20;0;12464.14;0;7331.85;60;3;6548.22;5519.68;0.08;0.11;7;20.66;4431;2000673163;5.17;247;389.96
07:25;0;12464.14;0;7331.85;60.01;3;6548.3;5519.76;0.15;0.18;7;37.76;4431;2000673163;6.11;247.14;368.17
07:30;0;12464.15;0;7331.85;60.01;3;6548.38;5519.85;0.19;0.21;7;46.63;4431;2000673163;6.3;247.25;346.92
07:35;0;12464.16;0;7331.86;60;3;6548.47;5519.93;0.23;0.23;7;55.67;4431;2000673163;6.69;247.43;377.84
07:40;0;12464.17;0;7331.86;60;3;6548.55;5520.01;0.25;0.23;7;62.04;4431;2000673163;6.98;247.27;405.36
07:45;0;12464.18;0;7331.87;60.01;3;6548.63;5520.1;0.29;0.26;7;71.48;4431;2000673163;7.48;247.43;392.08
07:50;0;12464.19;0;7331.87;60.02;3;6548.72;5520.18;0.3;0.3;7;73.53;4431;2000673163;7.49;247.69;339.53
