CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:05;0;4147.53;0;2439.73;59.97;3;1903.33;1806.61;0;0;2;0;1009;2000673163;6.83;247.42;265.82
07:10;0;4147.53;0;2439.73;59.98;3;1903.42;1806.63;0;0;7;0.22;1010;2000673163;6.9;247.62;283.52
07:15;0;4147.53;0;2439.73;59.98;3;1903.5;1806.71;0.01;0.03;7;1.72;1010;2000673163;7.1;247.93;249.87
07:20;0;4147.53;0;2439.73;59.98;3;1903.58;1806.76;0.01;0.03;3;2.06;1010;2000673163;7.47;247.7;327.28
07:25;0;4147.53;0;2439.73;60;3;1903.67;1806.76;0;0;3;0;1010;2000673163;7.22;247.08;441.07
07:30;0;4147.53;0;2439.73;59.98;3;1903.75;1806.76;0;0;3;0;1010;2000673163;7.46;246.84;449.58
07:35;0;4147.53;0;2439.73;59.98;3;1903.83;1806.76;0;0;3;0;1010;2000673163;7.48;247.27;456.25
07:40;0;4147.53;0;2439.73;59.99;3;1903.92;1806.76;0;0;3;0;1010;2000673163;7.47;247.04;461.93
07:45;0;4147.54;0;2439.73;60;3;1904;1806.82;0.16;0.16;7;38.35;1011;2000673163;8.35;247.29;393.12
07:50;0;4147.55;0;2439.73;59.99;3;1904.08;1806.91;0.24;0.23;7;57.78;1011;2000673163;9.23;247.13;374.84
07:55;0;4147.56;0;2439.74;59.99;3;1904.17;1806.99;0.26;0.26;7;64.76;1011;2000673163;9.46;247.25;369.71
08:00;0;4147.57;0;2439.75;59.99;3;1904.25;1807.07;0.28;0.29;7;69.67;1011;2000673163;9.98;247.16;346.1
