CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
06:30;0;9485.02;0;5579.43;59.96;3;4887.8;3930.01;0;0;2;0;3492;2000673163;12.6;249.15;278.09
06:35;0;9485.02;0;5579.43;59.95;3;4887.89;3930.03;0;0.01;7;0.32;3496;2000673163;12.88;248.98;285.4
06:40;0;9485.02;0;5579.43;59.96;3;4887.97;3930.12;0.02;0.05;7;3.83;3496;2000673163;13.18;248.7;249.86
06:45;0;9485.02;0;5579.43;59.95;3;4888.05;3930.18;0.03;0.07;1;6.7;3496;2000673163;13.2;248.4;294.04
06:50;0;9485.02;0;5579.43;59.94;3;4888.14;3930.18;0;0;3;0;3496;2000673163;13.19;248.82;430.08
06:55;0;9485.02;0;5579.43;59.97;3;4888.22;3930.18;0;0;3;0;3496;2000673163;13.2;248.6;438.42
07:00;0;9485.03;0;5579.43;59.98;3;4888.3;3930.25;0.11;0.14;7;25.84;3497;2000673163;14.08;248.09;356.45
07:05;0;9485.03;0;5579.43;59.98;3;4888.39;3930.34;0.14;0.16;7;34.78;3497;2000673163;14.76;247.8;382.08
07:10;0;9485.04;0;5579.43;59.99;3;4888.47;3930.42;0.18;0.19;7;44.72;3497;2000673163;15.1;248.06;377.58
07:15;0;9485.05;0;5579.44;60;3;4888.55;3930.5;0.2;0.21;7;49.92;3497;2000673163;15.49;248.02;387.71
07:20;0;9485.06;0;5579.44;59.99;3;4888.64;3930.59;0.24;0.23;7;58.63;3497;2000673163;15.79;247.94;384.07
07:25;0;9485.06;0;5579.45;60;3;4888.72;3930.67;0.27;0.25;7;66.09;3497;2000673163;16.21;247.92;384.25
