CSV-Export;Version: 1.01;Separator: Semicolon

;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E;WR40U08E
;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163;2000673163
TimeStamp;Backup State;CO2 saved;Error;E-Total;Fac;Grid Type;h-On;h-Total;Iac;Ipv;Mode;Pac;Power On;Serial Number;Temperature;Vac;Vpv
hh:mm;;lbs;;kWh;Hz;;h;h;A;A;;W;;;degC;V;V
07:00;0;12274.27;0;7220.16;58.96;3;6443.63;5420.05;0;0;3;0.02;4370;2000673163;6.85;253.5;282.71
07:05;0;12274.27;0;7220.16;60.01;3;6443.71;5420.1;0;0.01;7;0.8;4374;2000673163;7.07;252.82;278.76
07:10;0;12274.27;0;7220.16;60.01;3;6443.79;5420.18;0.01;0.05;7;3.24;4374;2000673163;7.48;253.21;255.2
07:15;0;12274.27;0;7220.16;60;3;6443.88;5420.21;0;0.01;3;0.93;4374;2000673163;7.52;253.1;377.46
07:20;0;12274.27;0;7220.16;59.98;3;6443.96;5420.21;0;0;3;0;4374;2000673163;7.47;253.39;446.12
07:25;0;12274.27;0;7220.16;59.98;3;6444.04;5420.21;0;0;3;0;4374;2000673163;7.5;252.88;453.38
07:30;0;12274.27;0;7220.16;59.97;3;6444.13;5420.21;0;0;3;0;4374;2000673163;7.5;253.07;458.91
07:35;0;12274.27;0;7220.16;59.98;3;6444.21;5420.21;0.01;0.01;7;1.85;4375;2000673163;7.53;252.62;461.03
07:40;0;12274.27;0;7220.16;59.98;3;6444.29;5420.3;0.19;0.2;7;48.24;4375;2000673163;8.92;253.01;392.51
07:45;0;12274.28;0;7220.17;59.98;3;6444.38;5420.38;0.22;0.24;7;56.49;4375;2000673163;9.4;252.85;365.15
07:50;0;12274.29;0;7220.17;59.99;3;6444.46;5420.46;0.24;0.23;7;61.16;4375;2000673163;9.89;252.93;399.91
07:55;0;12274.3;0;7220.18;60.01;3;6444.54;5420.55;0.27;0.28;7;68.34;4375;2000673163;10.1;252.7;356.47
