2, 0, 79, 0, 0, 0, 0, 0, 0, 0
2, 1, 81, 0, 0, 1, 1, 0, 2, 0
2, 2, 82, 0, 1, 0, 0, 1, 0, 1
2, 3, 83, 1, 2, 2, 1, 1, 1, 2
2, 4, 84, 3, 3, 3, 3, 4, 4, 3
2, 5, 85, 3, 4, 4, 3, 3, 4, 3
2, 6, 86, 4, 5, 5, 5, 6, 5, 4
2, 7, 74, 5, 7, 7, 6, 6, 5, 6
2, 8, 75, 8, 7, 6, 7, 7, 7, 7
2, 9, 89, 8, 7, 8, 7, 7, 7, 8
2, 10, 77, 9, 10, 8, 8, 8, 9, 8
2, 11, 91, 11, 9, 10, 12, 9, 10, 11
2, 12, 92, 10, 11, 11, 12, 11, 12, 11
2, 13, 93, 11, 12, 12, 11, 12, 12, 12
2, 14, 94, 12, 13, 12, 12, 13, 12, 13
2, 15, 96, 14, 13, 15, 15, 14, 13, 14
2, 16, 96, 15, 15, 14, 14, 15, 14, 15
2, 17, 97, 15, 15, 16, 16, 15, 16, 16
2, 18, 98, 19, 16, 16, 19, 18, 16, 17
2, 19, 99, 18, 17, 18, 19, 17, 18, 17
2, 20, 100, 19, 19, 18, 19, 20, 19, 19
2, 21, 101, 20, 20, 20, 20, 19, 19, 20
2, 22, 103, 20, 20, 21, 20, 22, 21, 22
2, 23, 103, 22, 21, 21, 21, 22, 22, 22
2, 24, 104, 23, 24, 22, 24, 24, 22, 23
2, 25, 105, 25, 23, 24, 24, 24, 24, 24
2, 26, 107, 25, 25, 24, 24, 25, 25, 25
2, 27, 108, 26, 26, 26, 26, 25, 26, 26
2, 28, 108, 27, 26, 27, 27, 27, 28, 28
2, 29, 110, 27, 28, 28, 28, 28, 28, 28
2, 30, 111, 28, 30, 28, 29, 29, 28, 30
2, 31, 112, 30, 31, 29, 31, 30, 30, 31
2, 32, 113, 31, 31, 32, 31, 31, 31, 32
2, 33, 113, 31, 33, 33, 31, 33, 31, 31
2, 34, 115, 32, 33, 32, 32, 32, 33, 33
2, 35, 115, 35, 34, 34, 33, 33, 34, 34
2, 36, 116, 35, 36, 36, 36, 35, 35, 35
2, 37, 118, 36, 37, 38, 35, 36, 35, 35
2, 38, 105, 36, 38, 37, 38, 36, 37, 36
2, 39, 120, 38, 39, 37, 38, 38, 39, 37
2, 40, 121, 39, 39, 39, 39, 39, 38, 39
2, 41, 121, 41, 39, 40, 41, 39, 40, 41
2, 42, 123, 40, 40, 40, 41, 40, 41, 40
2, 43, 124, 43, 41, 42, 42, 42, 42, 42
2, 44, 124, 43, 44, 42, 43, 42, 42, 43
2, 45, 126, 44, 43, 43, 44, 43, 45, 46
